review_description,polarity,Sentiment
really bad case refund make cancel reason show amount actual help contact site pathetic experience,-0.5666666666666665,Negative
bad show photo reach room else need promotion else give show standard room three adult one child room comfortable adult also early refund issue never ever suggest anyone,2.7755575615628914e-17,Positive
cab flight extremely send reminder update pick drop otherwise link page see care support section flight place enter entertain call highly disappoint better,0.17833333333333334,Positive
past due last minute plan change able get refund explain support team refund understand prefer visit directly thank link load try,0.045,Positive
trash company allow account easily allow click send button get deletion send make even enter correct say incorrect cannot delete account without,0.43333333333333335,Positive
platform moral responsibility whatsoever towards numerous platform spoil honeymoon trip get away say change possible due cyclone also provide refund response platform control whatsoever would suggest one want platform,-0.03125,Negative
support every time click link send direct towards click service show except ticket add ask service train ticket trip show ticket confirm need return ticket,0.1,Positive
dont side dont pay person connect care person put hold hour last trip become horrible trip still refund fund account issue cheater people even pay money people,-0.5,Negative
havelock full amount say fully didnt even give refund support room availability show sell day island without room nonsense miraculously find another person,0.35,Positive
deadly response care days still count resolution do offer free voucher property care intend lag solution although dont bother important almost spend still priority pathetic,-0.09999999999999998,Negative
star theres option less worst ever bus ticket show amount days get yet theres support call contact number give help theres human query theres option talk support theres one team problem,-0.3888888888888889,Negative
horrible support advance close shut permanently date didnt bother inform tell make new spot different reimburse amount reimburse,-0.2878787878787879,Negative
train debit extra prompt ticket double amount concern person meanwhile ticket automatically get ticket automatically want give rat,0.0,Positive
worst dont already close inform reach get know close support refund money well worst,-1.0,Negative
worst application doesnt care charge like insurance stuff doesnt take care journey ticket do work do thats care worst rat section would give maximum always show go wrong go wrong kind issue issue,-0.48,Negative
worst ever regret contact flight contact say contact chat support change impossible worst ever,-0.8888888888888888,Negative
doesnt work properly even select click search buffer come need develop proper way keep buffer even billion people time,0.0,Positive
two confirm global village resort resort tell issue lose money take request refund till didnt receive money call care bad experience lose money,-0.3499999999999999,Negative
full technical kindly install change automatically reschedule select lot platform,0.31666666666666665,Positive
truly simplify travel interface breeze exclusive save money multiple one standout flight status seamless itinerary management appreciate convenience reliability travel companion,0.05,Positive
bad experience owner stay bungalow however bungalow didnt work drink water service staff available,-0.1499999999999999,Negative
flight frequently start fare pay fare drastically service good disappoint due fare change,0.22499999999999998,Positive
star complete mismatch ask full payment zero refund policy lose check terrible property list dont even service,-0.18333333333333335,Negative
way reach care raise complaint add extra money get totally please provide help,-0.09999999999999999,Negative
poor service partner specially service prompt issue one two respond poor dont recommend solo traveller application,-0.14761904761904762,Negative
company cab due delay flight cab departure per cancellation policy get refund amount take whole amount try connect care automatically disconnect refund amount also provide fake link reply,-0.14166666666666666,Negative
horrible experience flight days havent get refund call support every alternate day open ticket close without time call support assure get refund dont get dont even respond support worst,-0.5,Negative
far good however pathetic keep previous flight full refund say flight agent confirm say agree refund days get refund less half amount whole process still wait,-0.018750000000000003,Negative
make price lock option try complete today surprise show double price complete flight care explanation worst part cant even return price lock basically cant fight big loot leave sorry message dont try direct dont fall small,-0.18125,Negative
worst experience ever one flight due get full refund later one support return money time say amount thats amount responsibility return back hard money,-0.17777777777777778,Negative
take wrong first show different amount ahead cancel get lesser amount account cant even talk agent theres option company,-0.0625,Negative
worst experience last days new application due price days stay different application straight dear humble request kindly show true application refund already expect resolution,-0.004292929292929287,Negative
worst flight ever wait flight refund service bad give head wall instead find way reach service,-0.8499999999999999,Negative
people false false number stay get free stay many stay even section open constantly show open section,0.014285714285714266,Positive
never refund total scam give voucher within days much cannot like try cab cab available intercity travel like get voucher applicable train ticket cannot select source station cannot anywhere normal ticket people,0.18750000000000003,Positive
unhappy support team one spite proof team blame bank even remove transaction screen dont trust team work behind see message payment safe back account work days day stay end,-0.125,Negative
worst experience cancel mislead room away location support poor quality give good rat,-0.2333333333333333,Negative
side wrong full payment much call back revert full payment stick last month refund dont make payment side trust side fraud,0.06666666666666667,Positive
sell fast highly bad complete trip havelock breakfast poor tea milk think algorithm poor suggest good price star rat per never,-0.0833333333333333,Negative
money loot flight departure display arrival immediately within receive board pass departure option contact care cancel within non fault receive partial refund instead fault act loot refund immediately,-0.1,Negative
worst support system issue travel cant reach support annoy support structure try contact refund relate link,-1.0,Negative
bad experience ever life train ticket due personal cancel ticket money back deduction reflect days today money account service call help ill never suggest anyone horrible experience,-0.38749999999999996,Negative
worst totally fraud bus didnt give number bus number money another also raise ticket didnt solve didnt refund do also dont direct care number anyone refund money take legal action,-0.12,Negative
cab airport shock cab didnt turn lot come nearly flight board cab apply undergo mental trauma miss flight even courtesy call enquire whether time fault,0.0,Positive
service even able contact somehow listen resolve delete status poor extra money will resolve simply delete disable option register concern never recommend,0.024999999999999994,Positive
goa spa time provide calculate total breakfast lunch dinner say amount pay extra amount lose money property nice experience last time extra dont want less company,0.07222222222222223,Positive
careful international card transaction try get money back foreign bank may hold money wont return back already almost month havent return money already give bank service time already yet every time ask say get back never get back may fraud,-0.03214285714285715,Negative
worst support navigation wont direct chat help line literally also train deduct charge even train railway end,-0.45,Negative
good must set color theme adjust dark mode dark mode almost impossible read key like passenger,-0.053333333333333344,Negative
till two good get trust recent bad money bank receive decline stay help first say require min time give min receive almost night unknown place lose trust,0.03000000000000002,Positive
would provide even star rat also care number raise recommend anyone bad experience train confirm train get havent receive reimbursement worst experience please contact give proper contact number raise complaint,-0.49999999999999994,Negative
contact support available support international option solve query dont possible solve query,0.13333333333333333,Positive
pathetic feature wasnt confirm receive coupon within days train flight within days arent available within days train wait confirm voucher would less one thats first date wont burn hole pocket even voucher cant,-0.12916666666666665,Negative
support available support say resolve issue didnt cant reach neither reach person support service see get issue immediately cant access link,0.4,Positive
havent cancellation amount follow need optimize visit link blank page show link even link receive,0.0,Positive
able partially cancel ticket due one leg ticket non cannot get touch anyone service regard matter also get touch office mail service receive reply,0.09166666666666667,Positive
pathetic well fraud flight indigo carrier due technical issue part inform indigo full refund procedure day cancellation money get neither contact since mail care number available totally fraud,-0.0625,Negative
worst experience sell product service response insurance get proper policy document passport number also charge double market bed experience,-0.3333333333333333,Negative
money ticket send train also havent register also copy transaction link send provide helpful solution formality mail link ill send,-0.5,Negative
bad worst proper service support bus ticket cancel cancel days refund refund quire refund call service didnt answer properly idea refund way contact help didnt proper system notice complaint,-0.3333333333333333,Negative
worst experience dont even want rate scam date request say work later say date cannot try contact inform send call without resolve person dont issue support hell say take less,-0.3888888888888889,Negative
bad experience ever ticket state pay extra didnt get confirm per get full refund train didnt receive pay extra try reach support team unable connect support help bad platform reliable,-0.2583333333333333,Negative
flight although full name fill form ticket part name contact service agent phone service pick call completely get touch team also able register mobile number since mobile number weird,0.11249999999999999,Positive
support response worst raise still wont lose money support default available face default question need submit mail many time wont highly dont,0.015000000000000006,Positive
flight ticket money havent get confirmation havent receive ticket even tho call care didnt help work mail twice still havent receive response please check ticket refund money soon possible,0.0,Positive
example desperate cheap ugly get show train available express ticket wait via say ticket wait list even show available even possible pay clerkage ticket get confirm really disappoint,0.014285714285714306,Positive
still basic amount bank account leave part show already amount bogus service zero delight even number provide busy time pathetic relationship management,-0.3,Negative
see reach find shady dirty check first charge payment cancel say week still havent receive refund amount way pic also didnt check soon saw room scam,-0.19999999999999998,Negative
bus ticket travel family bus operator stop bus destination take another vehicle proceed also unfortunately doesnt spot solution even writ problem do suddenly resolution message sorry say bother money,-0.3333333333333333,Negative
able access via try site ask able reach support well modify worst experience,0.0,Positive
worst ever bus ticket section cancel ticket prior days journey cancellation fee apply worst never,-0.6666666666666666,Negative
sleeper bus sea bird get seater bus staff say bus bus price raise complaint didnt give resolution close ticket full time traveller incident faith,0.024999999999999994,Positive
horrible calendar doesnt display beyond print ticket error print enter multiple arbitrarily last passenger instead ers,-0.3333333333333333,Negative
previously give star star day day worst regular contact mail complain category think physically check cancellation also unjustified,-0.2916666666666667,Negative
bad much higher actual rent show high amount offer discount simply cheat stay state nights find original charge nights though refund excess amount till refund immediately,0.014166666666666697,Positive
face utter embarrassment doesnt accept accept care put hold min check reach ultimately unable reach call pick call come loot public money,-0.16666666666666666,Negative
bus due issue another bus available case also bus cancellation charge ever refund yet see,0.1375,Positive
year offer complete get one free offer longer visible care number available,0.3,Positive
write review stay go wrong also photo get another review hence give past show,-0.375,Negative
better price official flight face trouble want reschedule change buy travel insurance flight get responsibility insurance date cancel insurance say insurance need flight get pathetic pointless care representative,-0.2375,Negative
lose trust never ever think cheat recently unsuccessful process connect money withdraw think connection problem try money go check unsuccessful say refund within day still didnt get refund days refund,0.0,Positive
cannot provide solution cancel know dont get amount back sincere request people fraud competitor face problem call care confirm mistake didnt get money back,0.16666666666666666,Positive
helpful plan official emergent also help log board accurate rate available kind plan advance avoid face kind face back home helpful,0.4,Positive
fraud genuine proper information provide reach place option remain leave place dont whenever family unsafe,0.2,Positive
trip bus due strick bus didnt come procedure fill complaint refund fund complaint still pend worst ever help desk provide proper information,-0.34500000000000003,Negative
fraud ticket directly extra amount confirm ticket ticket dont provide full refund time contact number care,0.175,Positive
worst ever bad support system cancellation due refund amount back also support request automatically close without resolution,-0.45624999999999993,Negative
flight experience worst every time price pay also regard sync name petty cash also never give end sync stop cheat people name,-1.0,Negative
support service one trip travel agency raise ticket refund ticket show resolve get refund also able reach support link link file complaint consumer court,0.1,Positive
do holiday package amount get theyre show even able talk care first time get bad experience disappoint,0.01666666666666672,Positive
disgust bus information give board like bus bus face issue month,0.0,Positive
class application face issue check care nobody available help worst never,-0.3,Negative
service ambience ready come link food rat provide,0.2,Positive
worst time check say room available try reach support refund say issue file case,-0.3,Negative
try return ticket show request due temporary issue ticket price raise due ticket error show,-0.125,Negative
smooth quick cancellation instant,0.24444444444444446,Positive
since time meet medical issue back home helpful accept cancellation request assure days refund receive care talk,0.0,Positive
fraud get money even get confirmation file arrival place tell close form last one year support number call search number number exist big loss dont,0.0,Positive
holiday package partial payment make trip might collaboration receive confirmation register number reflect either want make one minor change without link account cannot even generate query way contact support,-0.07500000000000001,Negative
ever cab never cab give cancellation end time option remain nearby travel agent,0.0,Positive
worst experience ever never please dont even trip option give refund wont give support worst wont even connect agent get clarification disappoint cancelation charge cancel cancelation dont ever cant find unique link,-0.5416666666666666,Negative
worst experience do wait another extra time board track feasibility available onwards never suggest anyone,-0.19999999999999998,Negative
worst promise refund confirm ticket available way connect get resolution telephone wont work wont work chat wont help disappoint,-0.3,Negative
dont expect flight ticket try change date extension money side decline get refund per police didnt get extension amount dont way contact respond relate,0.0,Positive
worst care please one flight ticket get bad experience ask ticket cut call send like complete query business money satisfaction cheet next,-0.3999999999999999,Negative
experience beyond mostly flight show past good may try,0.31666666666666665,Positive
transparency bus also bus root per bus root experience want safe travel safe ladies also,0.5,Positive
worst lose havent amount worst experience proper care number link provide even accessible provide care number worst wont give provide care mail worst response lose hard,-0.5595238095238095,Negative
send extremely less check mean promotion good company headache name promotion far worse sorry delete,-0.09652777777777778,Negative
worst ticket bus time money get do technical error days money option contact support one feel important please contact,-0.19999999999999998,Negative
ticket get message say wait list refund money deduct remain wait list even chart preparation whats logic behind pay urgent dont get ticket ill move legally utter waste like make hate digital,-0.3166666666666667,Negative
worst service think people fool try reach care dont provide clear service number call number tell easily get worst regard care,-0.3666666666666667,Negative
contact support night whatever want room adult family room payment room bed try call support call press doesnt connect support tell press star listen pathetic support worst traveller check nights,-0.6333333333333333,Negative
give one rat zero support particular mail complaint contact number service really cant even modify check time cant reach worst ever see support big zero,-0.18666666666666668,Negative
horrible experience speak manager make wrong date refund apparently days dont horrible make second money get ask bank statement post take days sort horrible experience inconvenience,-0.5750000000000001,Negative
worst support today cancellation support executive assure hat ordinate let know travel even receive,-1.0,Negative
lot flight go wrong support helpful another travel support zero value kindly save inconvenience,0.04999999999999999,Positive
unprofessional unorganized merely market cost still invoice didnt convert raise concern days ago every day get response get back till date issue unresolved result make payment entire amount one refrain,-0.16666666666666666,Negative
bad experience request please support board point change option train immediate refund ticket money trust could change board point also ticket station show please,-0.6999999999999998,Negative
due distance cancel way reach help support doesnt reply importantly refund till please loom really,0.15833333333333335,Positive
provide ever see give true room service one available reception water provide manager slum area find location difficult hot water hot water limit time bed dirty dirty say return money take money say,-0.06428571428571428,Negative
fine seat air ticket seat web check seat time relatively smaller aircraft seat bill also didnt reflect seat care number discuss problem disappoint,0.20833333333333334,Positive
best flight ticket also search even better clear trip ticket actually like one interface price lock system star,0.4,Positive
good convenient exhaustive show available either air many popular available,0.52,Positive
even think try modify automatically cancel keep entire amount fight refund thats never update take initiative work issue become desperate eat hard money absolute fraud please,-0.17291666666666666,Negative
make two time payment get make another amount get bank later successful hence money two get waste bad experience,-0.03749999999999995,Negative
service bad application multiple cancel one nobody hear lose money,-0.3499999999999999,Negative
complete disaster international travel insurance never receive policy submit request insurance company support doesnt information insurance say send concern department get back never turn back multiple time every last leave travel still insurance still,0.016666666666666666,Positive
worst cannot get support face many dont mind think last may,-0.16666666666666666,Negative
worst experience seat show first amount get message seat amount days receive amount hire call several time send none number work,-0.25,Negative
love track bus provide option support anyone read review would recommend kindly instead,0.55,Positive
try error message really,0.2,Positive
always face issue theres always technical persistent,0.0,Positive
flight give cancellation cancel say give refund give cancellation writ company say departure flight departure company give refund company dont site company support support toll free number completely answer give reason,0.25,Positive
stay away make reservation get know havent receive stick since without resolution,0.0,Positive
bad experience bood payment do train ticket also suspense cancel trip wat refund bad bad dont try,-0.6999999999999998,Negative
worst experience go check inform receive confirmation additionally help resolve issue also still amount,-1.0,Negative
pathetic service face ever trip since last week trip get bus operator sometime get message full refund days still update really worst part voice support available,-0.25,Negative
worst experience cab ride unable invoice never suggest anyone never try,-0.75,Negative
absolutely provision mobile number include,0.2,Positive
bus bus bus refund show refund come within days worst one responsible refund proper support dont,-0.26666666666666666,Negative
bus get another price check price actual show check,0.0,Positive
bad refund status find even executive contact number contact fake fraud condition side cheat may say link accessible provide number else approach consumer court dont cheat like also provide mail,-0.2749999999999999,Negative
big scam every time watch raise special watch select price higher last time dont direct get discount direct call save money,0.13452380952380952,Positive
update experience still havent receive full refund one way flight even though fully month since speak care time without solution end kind service mental issue consumer forum,0.2833333333333333,Positive
good worst part ease connect support bus try connect support able talk real agent way ask refund,0.09999999999999999,Positive
pathetic service provide every time never get journey comfortable per choice time issue bus seat allocation operator behaviour worst part support,-0.5333333333333333,Negative
visible link provide worst experience payment do money transaction proof also show success failure payment care executive talk mail well,-0.33888888888888885,Negative
worst experience room number give time channel available show breakfast even neither could see milk available tea horrible dont also listen want waste money platform,-0.27999999999999997,Negative
good strategy time show available one do show wait list loot people cheep,0.55,Positive
flight ticket ago trip ago around per ticket reduce recommend ticket reply able open link,0.25,Positive
try give feedback travel end accept show error go wrong provide solution,-0.5,Negative
option contact support ticket per recommendation didnt get update,0.0,Positive
worst save credit card every time error apply pay later code payment page offer mismatch dont stand kind voucher code work,-0.13333333333333333,Negative
pathetic experience loot money show different kind without explain proper,-0.1,Negative
best among search know,1.0,Positive
dont amount deduct also deny give stay control look mode recently face issue dont dont non money without cannot,0.0,Positive
disappoint bus return ticket clear confirm bus operator number different number bus operator number tire call many didnt respond back much disappoint cancel return lose never please dont,0.16,Positive
contact support struggle still able contact reach support pathetic,-0.25,Negative
really poor service opt receive refund cash cancellation balance show error poor please dont provide first place cant meet basic need,-0.1375,Negative
pathetic experience terrible support pay full amount flight get confirmation say select two get assign accept fault even send precheck take right make payment show indeed select service,-0.3410714285714286,Negative
one worst ticket never loot didnt response whenever call tell call worst ticket lock price new way loot,-0.6212121212121212,Negative
first didnt get room call support help tell pay extra room show later extra amount,0.0625,Positive
try train ticket amount bank correct however even correct however amount money even succeed ticket due disable cheat dont,-0.125,Negative
excellent prefer available market flight also cab happy experience far,0.5750000000000001,Positive
fraud fine fell victim fraud almost refund one fool around send account try contact care simply disconnect one reply,0.11388888888888889,Positive
pay full amount check full support money go one complain zero support never,0.35,Positive
cancel ticket money account status refund successful bank net bank contact number support click support try error page,0.375,Positive
first worst experience get train ticket ago stick station try another didnt worst part payment ticket confirm ask refund didnt get,-0.5833333333333334,Negative
worst ever see dont almost still get refund amount call tell soon process wont contact wont send message even one star also waste,-0.6,Negative
worst experience lier proper requirement per confirmation loss total journey plan due cheap nonsense ever,-0.145,Negative
try seat semi sleeper bus sri vari female already bus also try get ticket bus many double empty able restrict male alone female cant seat come gender discrimination,0.1285714285714286,Positive
poor service service time clearly cancel amount would cancellation refund applicable totally rubbish,-0.09999999999999999,Negative
cant even unable cant even contact service dont know next message pop go wrong please try later kind,-0.08,Negative
always scam cancellation go wrong always present want cancel support way poor dont recommend,-0.3,Negative
reservation confirm reason friend suggest give confirmation never disappoint lovely trip,0.5,Positive
always prefer today get bad experience ticket one month family trip today get call grand team cancel ticket could offer room team say cancel get refund get amount help,-0.09999999999999992,Negative
worst worst worst ever take days refund amount amount account still theyre report,-1.0,Negative
pathetic service make today reach room totally different show image also dirty clean provide another room say dont room cancel refund conversation agent see prostitution work allow without proper documentation story care,-0.24666666666666667,Negative
bad bus bus bus without inform care service available complaint also close without inform issue resolve refund receive,-0.19999999999999996,Negative
support run help even help work nowhere connect well,0.0,Positive
speak bus late due rain speak irresponsible manner want wait even try file complaint long support,-0.19375,Negative
horrible experience never platform property say available property dayal move still go dayal give room totally dissatisfy room dirty stay refund neither owner team,-0.3,Negative
think entire amount advance middle night reason low price care talk say cant option leave refund take money sue soon,0.0,Positive
villa reasonable price time trip date nearby someone property cancel would renovation work another property available high might rent higher price care simply tell another property help,0.20200000000000004,Positive
like normally would love see also dont service team need know increase luggage option less flight,0.16111111111111112,Positive
recent flight company refund pay money service service side deduct amount,0.0,Positive
bad service cab care executive contact problem never wast money time class service,-0.6999999999999998,Negative
days still confirm even chat box raise query work like select bad experience,-0.6999999999999998,Negative
worst big time fraud even within time limit refund amount full still wont give refund cost say might take process take time write post care executive rude dont know talk,-0.2375,Negative
wrong application provide wrong information apply wrong also tell select full refund option pay extra receive full refund cancel provide full refund,-0.06428571428571428,Negative
dear sir able raise issue mail force raise issue alternate mail take note resolve matter highest priority reference journey surat jay baba send mail raise issue journey proper manner knowledge,0.16666666666666666,Positive
pathetic check many time refund waste get resolution resolution shift away find another wast wasnt even list arent think people dont work properly service pathetic service,-0.33999999999999997,Negative
care support able connect representative even bother reply worst experience henceforth,-0.25,Negative
last many unable see onward journey last days month today want date visible please see thank best,0.2,Positive
worst application travel refund ticket still please want save money case cancel,-1.0,Negative
get raise request refund say someone contact regard days one whatever care number find option speak representative give low rat,0.0,Positive
dont train confirm instead another didnt get extra money care service dont give support also regard train,0.0,Positive
transaction make option get complete now wait refund,0.1,Positive
invoice cannot able open since long time creator cognizance difficulty lot travel,0.15,Positive
dont return refund flight may still receive money back share link didnt work fraud,0.0,Positive
cancel due wrong date selection refund amount always say work refund amount since please dont fraud complaint,-0.30833333333333335,Negative
less slow basic need chat service care available option service else first last usage,0.030555555555555558,Positive
dont train ticket cancellation money wallet could get bank account dont know kind scam illegal,0.04999999999999999,Positive
defective click date previous day select automatically unable select bus,-0.3333333333333333,Negative
doesnt even support number address time check time refund,0.0,Positive
worst experience destination train ticket though choose destination show payment double destination,-0.5,Negative
worst experience show different real bad unable cancel cannot help cancellation dont make mistake please dont wast money never,-0.625,Negative
confirm option double refund chart cant get double genuine commitment cheat people,0.13333333333333333,Positive
support number cant talk anyone help unable zero payment despite show person talk understand problem level happen god,-0.5,Negative
worst experience flight via flight get refund full amount partial amount refund flight time suggest read deep take ticket understand,-0.1875,Negative
fraud try search train ticket would show confirm ticket show wait list victim,-0.07500000000000001,Negative
help issue bus operator decline arrive do wouldnt grievance,0.0,Positive
good experience flight ticket hassle highly recommend fellow,0.43,Positive
pathetic company call multiple fake never show account call say honest,-0.225,Negative
worst dont reliable stupid cab get confirmation try cancel make new never go,-0.5545454545454546,Negative
worst experience grand extra money provide invoice support fool demand invoice dont want give invoice cheater,-0.16666666666666666,Negative
happy cancel money wallet doesnt option take money back account,0.4,Positive
zero support service ticket pay higher never get support care emergency situation bus never get bus number bus money also zero refund policy emergency today still didnt get slow complaint issue today day ticket three emergency support,-0.11666666666666668,Negative
worst via reach staff check another one also check call care tell situation short cash could please proceed refund soon didnt response end finish stay wait room get worst experience life via,-0.6666666666666666,Negative
show non bus accurate information site correctly inform time,0.4000000000000001,Positive
worst ever support contact table reservation get want money back support worst experience ever,-0.6666666666666666,Negative
best reliable happy trip new railway station pleasant thank,0.6674242424242425,Positive
pathetic service one create ticket leave pend recommend,-1.0,Negative
tick shiv bus bus say dont seat leave seat show fake kindly cancel ticket raise issue try cancel ticket refund way contact care talk phone raise dont know get refund hard still show process,-0.0638888888888889,Negative
care talk regard issue revert one regard query poor like make safe cant handle resolve dont reply poor days,-0.10000000000000002,Negative
frequent traveller find always good offer flight last,0.26666666666666666,Positive
worst bus conductor good bus suppose come come bus clean seat choose water bottle give service,0.022222222222222216,Positive
check net price show price double mobile discount code also remove,0.0,Positive
reliable confirm suddenly without proper justification many days suddenly receive call team unavailability despite confirm stop potential fraud,0.1,Positive
service less direct another link deduct money money one assist care less money really disappoint lose,-0.008333333333333325,Negative
worst ever try chang flight date cant new new one way flight round trip,-0.2318181818181818,Negative
worst application support experience many check also class application since mobile phone,-0.25,Negative
disappoint cancellation modify date option non work visible management link blank page tell invalid try enter manually somehow find way browser cancellation straight error support anywhere,0.1,Positive
best available compete best travel world ease,0.7999999999999999,Positive
worst service compliant reach ask extra say dont allow cost show complain care make wait time one either pay extra start second give also rude unwill get happy,-0.08333333333333333,Negative
cheat stay unfortunately plan get room time cancellation refund would three within month didnt care several time respond irresponsible,-0.25,Negative
support option select support select option number anyway raise complaint query market become people make difficult reach support get give finally poor support link doesnt even give option select want complain old,-0.275,Negative
read detail worst try reschedule flight guest mode month ago reschedule flight worst try figure need add support option get care worst cannot talk person another flight directly cancel current portal unable claim refund due,-0.5035714285714286,Negative
worst experience able page blank care multiple time finally payment make via link later get confirmation hear available cancel even ready another compensate money worst experience,-0.09999999999999999,Negative
they money cash form fresh able payment money stick scam,0.4,Positive
many push arent great either little beyond two get everyday clear morn even theres plus havent even make yet flood worst arent great either competitive need talk better,0.16406250000000003,Positive
place price pay think refund first come wallet send many care send care number many time computer totally unrelated reply point twice room lose huge amount service bad complain,0.15833333333333338,Positive
one worst ever dont dont support ticket able show technical time bus time technical resolve cant cancel solve issue dont support also dont,-0.125,Negative
worst ever terrify support toll free cab two days advance money suppose provide contact prior trip trust even hour show share soon cant even cancel trip another cab hope provide cab complete money,-0.125,Negative
become cheap like preselect charge extra screen fill much junk make pay extra click skip page price seat include clearly cheap mentality company never,0.2,Positive
regular past unable fully one contact support well try unable also try directly contact say do disappoint inefficient,-0.22999999999999998,Negative
service absolutely horrible way contact recently flight reschedule suppose get refund new flight ticket lesser original flight ticket days havent receive refund contact service enquire service absolutely unacceptable,-0.048106060606060604,Negative
cant able resolve issue cant able reach care also feed first time life one cancellation fee instead sad see try connect care voice cant able connect cant option screen shoot else share also,0.25,Positive
multiple travel become intransparent zero accountability flight airport cab cab didnt show hour phone unreachable however somehow trip mark try care literally dont care name computer voice even,0.0,Positive
stay property sale basic insecure star rat mismatch rat star doesnt deserve mention update regard type property dissatisfy stay neither get call costumer support executive rais query,-0.25,Negative
page open many time response care talk new nobody solve issue send lot one worst service solve problem anyone suggest solution coupon redeem,-0.09090909090909091,Negative
regular previously especially official like prompt bill allocation stay nowadays make complicate need collect two one regard one convenience collect two difficult claim official better call directly,0.02,Positive
awesome dynamic one objection time frame strictly hard completion trip via look else fine,0.28125,Positive
click support install correct cannot lodge even problem complete,0.1,Positive
try test multiple fine travel recommend platform last two travel receive live contact able give review experience last journey get much bus rat proper correct platform good compare stop forward,0.21700336700336698,Positive
many time since trip advisor zero property best part write review hence genuine writ review review get lose one phone errand putt option choose phone album trip advisor give convenient select time repeat cycle,0.6333333333333333,Positive
dont consist many unauthorized unverified simply loot show beautiful fee cancellation time give room worst able cancel partial refund,0.12500000000000003,Positive
select two consecutive do whole say make day pay extra charge amount try get refund response give refund two day scam,0.1,Positive
worst experience ever bus bus way time didnt stop board point tell bus yet come wait hour bus operator stop respond try get help give support ticket never resolve still pend wouldnt recommend anyone bus,-1.0,Negative
disgust travel day wait board point didnt receive bus driver around actually bus late receive notification try connect support board point manager wasnt reachable disgust experience ever see,-0.15,Negative
work fine time dont support team provide support case bug check option ticket one lower berth confirm still ticket cancel ticket amount mistake long time may wont train ticket next time,0.12222222222222223,Positive
worst application really disappoint make fake worst cannot call option,-0.575,Negative
bus application bus stand time bus travel bus try contact support call dont aby care executive support time however raise complaint application till nobody also receive refund yet dont application worst ever,-0.65,Negative
